dateTime,comment
15/07/2023 6:06,Terima kasih sir. 
11/01/2023 11:17,.
11/01/2023 10:54,MANTAP &amp; TERBAIK
11/01/2023 10:29,Pembelajaran dapat difahami
11/01/2023 10:54,Good 
11/01/2023 10:54,Terbaik
11/01/2023 10:36,Pembelajaran baik dan mudah difahami.
11/01/2023 10:29,Tiada komen
11/01/2023 10:54,Tidak
11/01/2023 10:24,"mudah faham sir ajar,x laju"
11/01/2023 10:52,MENARIK 
11/01/2023 11:10,Tiada
11/01/2023 10:36,terbaik
11/01/2023 10:58,Terbaik
11/01/2023 10:51,sangat baik
11/01/2023 10:32,Kelas difahami
11/01/2023 10:51,BAIK 
11/01/2023 11:16,Sangat baik
11/01/2023 10:36,TIADA
11/01/2023 10:33,Ya
11/01/2023 10:53,Sangat bagus
11/01/2023 11:21,Terima kasih 
11/01/2023 10:37,Terbaik
11/01/2023 11:16,Tiada
11/01/2023 10:54,Semuanya baik
11/01/2023 10:41,Terbaik 
11/01/2023 10:42,Baik
11/01/2023 11:04,Penerangan yang jelas
11/01/2023 11:20,semua bagus
11/01/2023 10:54,best
11/01/2023 10:58,-
11/01/2023 10:39,Terima kasih sir
11/01/2023 11:18,Sangat bagus 
11/01/2023 10:34,Menarik
11/01/2023 10:52,okayy
11/01/2023 10:54,Tiada
11/01/2023 10:35,Memahami apa yang disampaikan
11/01/2023 10:53,Mantap
11/01/2023 10:01,Ya
11/01/2023 11:19,Tiada
11/01/2023 10:52,Tiada
11/01/2023 10:32,Penerangan yang baik
14/07/2023 13:15,sesi pembelajaran aktif &amp; pengajar serta pelatih berinteraksi antara satu sama lain dgn lancar
14/07/2023 13:27,Jelas dan mudah difahami
14/07/2023 13:19,Terima kasih sir
14/07/2023 13:17,Suara nyaring and jelas 
14/07/2023 13:22,TIADA 
14/07/2023 13:13,Tiada
15/07/2023 10:20,.
14/07/2023 13:34,-
15/07/2023 13:02,PROSES PEMBELAJARAN BAIK DAN CARA PENYAMPAIAN MUDAH DIFAHAMI.
14/07/2023 13:24,Mudah untuk memahami yang di ajar.
14/07/2023 13:18,terima kasih
14/07/2023 13:24,Jelas dan difahami
14/07/2023 13:32,PENGAJAR SANGAT MEMBERI SEPENUH TENAGA DALAM MEMBERI KULIAH
14/07/2023 13:14,Semua berjalan dengan baik dan lancar
15/07/2023 6:24,Tiada
14/07/2023 13:24,Tiada
14/07/2023 13:14,"Terbaik, penerangan beserta fakta banyak membantu"
14/07/2023 13:18,Faham
14/07/2023 15:45,Terbaik
14/07/2023 13:14,"Terbaik sir SAI , teruskan perjuangan"
14/07/2023 15:19,Meningkatkan ilmu pengetahuan di dalam bidang Kesihatan awam dengan lebih meluas
14/07/2023 13:16,TIADA
14/07/2023 13:14,Tiada
14/07/2023 13:17,Terbaik sir..ilmu dan pengalaman yang sangat bermanfaat.
14/07/2023 13:26,Terima kasih sir
14/07/2023 15:47,Presentor yang baik dan memahami
16/07/2023 23:33,PEMBELAJARAN BERJALAN DENGAN LANCAR DAN OBJEKTIF TERCAPAI
14/07/2023 13:15,-
14/07/2023 13:13,Sir mengajar dan saya paham apa yang diajar
14/07/2023 13:13,Pembelajaran yang menarik dan berkesan
14/07/2023 13:16,sudah baik
14/07/2023 13:18,Pembelajaran yang seronok
14/07/2023 15:13,Bagus
14/07/2023 15:40,Terbaik sir
14/07/2023 13:22,Tiada
14/07/2023 13:10,Dah terbaikkkk
14/07/2023 13:17,Terima kasih sir .. 
14/07/2023 15:33,TERBAIK
14/07/2023 13:26,"Sesi pembelajaran yang sangat menarik , saya sangat minat dengan cara sir mengajar."
14/07/2023 13:17,sangat baik
14/07/2023 13:43,","
14/07/2023 15:33,TIADA
14/07/2023 13:13,Terbaik
15/07/2023 10:54,Okey
14/07/2023 13:13,Pembelajaran yang berkesan
14/07/2023 13:57,Terbaik
14/07/2023 13:43,Tiada
14/07/2023 13:20,TIADA
14/07/2023 13:14,Thank you sir
14/07/2023 13:37,Baik
